[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[SingleUserNotebookApp | INFO] Starting jupyterhub-singleuser server version 0.8.1
[SingleUserNotebookApp | INFO] Serving notebooks from local directory: /home/jovyan
[SingleUserNotebookApp | INFO] The Jupyter Notebook is running at:
[SingleUserNotebookApp | INFO] http://(jupyter-xiongqiao or 127.0.0.1):8888/user/xiongqiao/
[SingleUserNotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/ → /user/xiongqiao/tree? (@10.240.1.84) 0.95ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/?redirects=1 → /user/xiongqiao/tree?redirects=1 (@10.240.0.127) 0.57ms
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/tree?redirects=1 → /hub/api/oauth2/authorize?client_id=user-xiongqiao&redirect_uri=%2Fuser%2Fxiongqiao%2Foauth_callback&response_type=code&state=eyJ1dWlkIjogIjlmMWY1MTJiYjgzMjQ5NjA4ODUwZDgwZTc1NTU5OWJjIiwgIm5leHRfdXJsIjogIi91c2VyL3hpb25ncWlhby90cmVlP3JlZGlyZWN0cz0xIn0 (@10.240.0.127) 1.91ms
[SingleUserNotebookApp | INFO] Logged-in user {'kind': 'user', 'name': 'xiongqiao', 'admin': False, 'groups': [], 'server': '/user/xiongqiao/', 'pending': None, 'last_activity': '2018-08-22T06:34:18.944000'}
[SingleUserNotebookApp | INFO] 302 GET /user/xiongqiao/oauth_callback?code=26a30be5-a4dd-4abd-912b-3833da5a7038&state=eyJ1dWlkIjogIjlmMWY1MTJiYjgzMjQ5NjA4ODUwZDgwZTc1NTU5OWJjIiwgIm5leHRfdXJsIjogIi91c2VyL3hpb25ncWlhby90cmVlP3JlZGlyZWN0cz0xIn0 → /user/xiongqiao/tree?redirects=1 (@10.240.0.127) 432.60ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/tree?redirects=1 (xiongqiao@10.240.0.127) 61.98ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/tree?_=1534919661269 (xiongqiao@10.240.0.127) 2.90ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/config/common?_=1534919661270 (xiongqiao@10.240.0.127) 2.44ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/terminals?_=1534919661271 (xiongqiao@10.240.0.127) 1.10ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/sessions?_=1534919661272 (xiongqiao@10.240.0.127) 1.29ms
[SingleUserNotebookApp | INFO] 200 GET /user/xiongqiao/api/kernelspecs (xiongqiao@10.240.0.127) 4.82ms
